Epoch, Phase, Right_Label, Pred_umdavb, Pred_rbbb, Pred_lbbb, Pred_sb, Pred_st, Pred_af
    1, val  , umdavb     ,        4880,        99,        41,     165,     125,     139
    1, val  , rbbb       ,          83,       645,         4,       8,       2,      13
    1, val  , lbbb       ,         125,         3,       315,       3,       1,      18
    1, val  , sb         ,          90,         2,         1,     312,       0,       3
    1, val  , st         ,          75,         9,        11,       0,     552,      28
    1, val  , af         ,         204,        14,         5,      16,      51,     232
    1, test , umdavb     ,         671,         3,        10,      12,       4,       9
    1, test , rbbb       ,          12,        18,         0,       0,       0,       0
    1, test , lbbb       ,          10,         0,        17,       0,       0,       0
    1, test , sb         ,           6,         0,         0,       9,       0,       0
    1, test , st         ,          17,         1,         1,       0,      15,       1
    1, test , af         ,           7,         0,         0,       0,       0,       4
    2, val  , umdavb     ,        5010,        92,        54,     112,      95,      86
    2, val  , rbbb       ,         100,       632,         4,       6,       6,       7
    2, val  , lbbb       ,          82,         4,       369,       1,       5,       4
    2, val  , sb         ,          76,         2,         0,     329,       0,       1
    2, val  , st         ,          69,         3,         9,       0,     579,      15
    2, val  , af         ,         198,        16,         6,      22,      43,     237
    2, test , umdavb     ,         693,         1,         3,       6,       2,       4
    2, test , rbbb       ,          20,        10,         0,       0,       0,       0
    2, test , lbbb       ,          11,         0,        16,       0,       0,       0
    2, test , sb         ,           4,         0,         0,      11,       0,       0
    2, test , st         ,          20,         1,         0,       0,      14,       0
    2, test , af         ,           9,         0,         0,       0,       0,       2
    3, val  , umdavb     ,        4919,        94,        57,     106,     109,     164
    3, val  , rbbb       ,          55,       680,         3,       9,       2,       6
    3, val  , lbbb       ,          63,         4,       388,       0,       0,      10
    3, val  , sb         ,          74,         3,         0,     329,       0,       2
    3, val  , st         ,          35,         7,        10,       0,     601,      22
    3, val  , af         ,         102,        18,         7,      19,      37,     339
    3, test , umdavb     ,         667,         5,         5,       6,       2,      24
    3, test , rbbb       ,           7,        23,         0,       0,       0,       0
    3, test , lbbb       ,          10,         0,        17,       0,       0,       0
    3, test , sb         ,           5,         0,         0,      10,       0,       0
    3, test , st         ,          19,         1,         0,       0,      13,       2
    3, test , af         ,           6,         0,         0,       0,       0,       5
    4, val  , umdavb     ,        4905,        99,        80,     107,     121,     137
    4, val  , rbbb       ,          88,       648,         7,       4,       4,       4
    4, val  , lbbb       ,          44,         3,       414,       1,       1,       2
    4, val  , sb         ,          85,         3,         1,     318,       1,       0
    4, val  , st         ,          40,         6,        11,       1,     601,      16
    4, val  , af         ,         141,        12,        11,       7,      49,     302
    4, test , umdavb     ,         681,         4,         5,       8,       6,       5
    4, test , rbbb       ,          15,        14,         0,       0,       0,       1
    4, test , lbbb       ,           9,         0,        18,       0,       0,       0
    4, test , sb         ,           5,         0,         0,      10,       0,       0
    4, test , st         ,          12,         0,         0,       0,      23,       0
    4, test , af         ,           8,         0,         0,       0,       0,       3
    5, val  , umdavb     ,        5004,        80,        65,     123,      80,      97
    5, val  , rbbb       ,          65,       668,         8,       9,       2,       3
    5, val  , lbbb       ,          47,         4,       404,       3,       1,       6
    5, val  , sb         ,          62,         2,         0,     343,       0,       1
    5, val  , st         ,          40,         4,         9,       1,     599,      22
    5, val  , af         ,          85,        16,        12,      24,      18,     367
    5, test , umdavb     ,         685,         5,         7,       9,       1,       2
    5, test , rbbb       ,           9,        20,         0,       0,       1,       0
    5, test , lbbb       ,           4,         0,        23,       0,       0,       0
    5, test , sb         ,           3,         0,         0,      12,       0,       0
    5, test , st         ,          14,         1,         1,       0,      18,       1
    5, test , af         ,           7,         0,         0,       0,       0,       4
    6, val  , umdavb     ,        5033,        99,        61,      82,      84,      90
    6, val  , rbbb       ,          34,       698,         9,       5,       7,       2
    6, val  , lbbb       ,          62,         2,       384,       0,       3,      14
    6, val  , sb         ,          82,         3,         0,     323,       0,       0
    6, val  , st         ,          35,         4,         5,       0,     618,      13
    6, val  , af         ,          76,        15,         9,       9,      44,     369
    6, test , umdavb     ,         675,         7,         5,       9,       2,      11
    6, test , rbbb       ,           8,        19,         1,       0,       2,       0
    6, test , lbbb       ,           6,         0,        20,       0,       0,       1
    6, test , sb         ,           2,         0,         0,      13,       0,       0
    6, test , st         ,          15,         1,         0,       0,      18,       1
    6, test , af         ,           6,         0,         0,       0,       0,       5
    7, val  , umdavb     ,        5007,        82,        79,     111,      97,      73
    7, val  , rbbb       ,          43,       690,         9,       6,       3,       4
    7, val  , lbbb       ,          29,         5,       418,       1,       1,      11
    7, val  , sb         ,          63,         1,         0,     342,       0,       2
    7, val  , st         ,          41,         6,         7,       0,     604,      17
    7, val  , af         ,          94,        15,         9,      11,      31,     362
    7, test , umdavb     ,         642,         5,         8,      44,       1,       9
    7, test , rbbb       ,           6,        20,         1,       0,       0,       3
    7, test , lbbb       ,           6,         0,        20,       0,       0,       1
    7, test , sb         ,           3,         0,         0,      12,       0,       0
    7, test , st         ,          19,         0,         1,       0,      14,       1
    7, test , af         ,           6,         0,         0,       0,       0,       5
    8, val  , umdavb     ,        4963,       111,        69,     129,      77,     100
    8, val  , rbbb       ,          23,       711,         6,       6,       3,       6
    8, val  , lbbb       ,          52,         3,       399,       1,       0,      10
    8, val  , sb         ,          61,         3,         0,     343,       0,       1
    8, val  , st         ,          22,         6,         5,       0,     630,      12
    8, val  , af         ,          83,        15,        11,      12,      38,     363
    8, test , umdavb     ,         621,         8,         8,      57,       4,      11
    8, test , rbbb       ,           5,        23,         0,       0,       1,       1
    8, test , lbbb       ,           2,         0,        25,       0,       0,       0
    8, test , sb         ,           2,         0,         0,      13,       0,       0
    8, test , st         ,          13,         2,         0,       0,      20,       0
    8, test , af         ,           6,         0,         0,       1,       0,       4
    9, val  , umdavb     ,        5028,        82,        64,     103,      74,      98
    9, val  , rbbb       ,          71,       659,        11,       5,       4,       5
    9, val  , lbbb       ,          53,         5,       403,       1,       0,       3
    9, val  , sb         ,          66,         3,         1,     335,       0,       3
    9, val  , st         ,          33,         3,        10,       0,     611,      18
    9, val  , af         ,          85,        13,        11,       8,      27,     378
    9, test , umdavb     ,         670,         5,         9,      11,       2,      12
    9, test , rbbb       ,           6,        21,         1,       0,       2,       0
    9, test , lbbb       ,           3,         0,        24,       0,       0,       0
    9, test , sb         ,           4,         0,         0,      11,       0,       0
    9, test , st         ,          12,         1,         1,       0,      19,       2
    9, test , af         ,           5,         0,         1,       0,       0,       5
   10, val  , umdavb     ,        5020,        98,        63,     108,      71,      89
   10, val  , rbbb       ,          36,       689,         6,      10,       7,       7
   10, val  , lbbb       ,          34,         4,       422,       1,       0,       4
   10, val  , sb         ,          57,         2,         1,     348,       0,       0
   10, val  , st         ,          31,         7,         8,       0,     609,      20
   10, val  , af         ,          65,        12,        14,      15,      22,     394
   10, test , umdavb     ,         629,         8,         5,      52,       3,      12
   10, test , rbbb       ,           5,        21,         0,       0,       1,       3
   10, test , lbbb       ,           5,         0,        21,       1,       0,       0
   10, test , sb         ,           3,         0,         0,      12,       0,       0
   10, test , st         ,          13,         1,         0,       1,      17,       3
   10, test , af         ,           7,         0,         0,       1,       0,       3
   11, val  , umdavb     ,        5091,        74,        54,      98,      68,      64
   11, val  , rbbb       ,          64,       669,         9,       6,       4,       3
   11, val  , lbbb       ,          50,         5,       400,       1,       1,       8
   11, val  , sb         ,          60,         3,         2,     343,       0,       0
   11, val  , st         ,          46,         5,         5,       1,     599,      19
   11, val  , af         ,          89,        15,         9,       9,      21,     379
   11, test , umdavb     ,         641,         6,         6,      44,       3,       9
   11, test , rbbb       ,           9,        20,         0,       0,       0,       1
   11, test , lbbb       ,           5,         0,        22,       0,       0,       0
   11, test , sb         ,           3,         0,         0,      12,       0,       0
   11, test , st         ,          15,         1,         0,       1,      17,       1
   11, test , af         ,           7,         0,         0,       1,       0,       3
   12, val  , umdavb     ,        5062,        75,        53,     128,      71,      60
   12, val  , rbbb       ,          48,       688,         4,       9,       2,       4
   12, val  , lbbb       ,          50,         3,       404,       1,       0,       7
   12, val  , sb         ,          49,         2,         1,     356,       0,       0
   12, val  , st         ,          47,         3,         8,       0,     604,      13
   12, val  , af         ,          93,        16,         7,      11,      22,     373
   12, test , umdavb     ,         646,         5,        16,      32,       2,       8
   12, test , rbbb       ,           8,        20,         0,       0,       0,       2
   12, test , lbbb       ,           1,         0,        26,       0,       0,       0
   12, test , sb         ,           3,         0,         0,      12,       0,       0
   12, test , st         ,          17,         1,         3,       0,      14,       0
   12, test , af         ,           7,         0,         1,       0,       0,       3
   13, val  , umdavb     ,        5039,        79,        67,     100,      75,      89
   13, val  , rbbb       ,          38,       693,         9,       7,       3,       5
   13, val  , lbbb       ,          40,         3,       409,       2,       2,       9
   13, val  , sb         ,          50,         1,         0,     355,       0,       2
   13, val  , st         ,          20,         3,         5,       0,     623,      24
   13, val  , af         ,          81,        18,         7,      12,      34,     370
   13, test , umdavb     ,         661,         4,         6,      21,       3,      14
   13, test , rbbb       ,           8,        19,         0,       0,       0,       3
   13, test , lbbb       ,           2,         0,        25,       0,       0,       0
   13, test , sb         ,           4,         0,         0,      11,       0,       0
   13, test , st         ,          15,         0,         0,       1,      18,       1
   13, test , af         ,           5,         0,         0,       1,       0,       5
   14, val  , umdavb     ,        5105,        69,        49,      96,      70,      60
   14, val  , rbbb       ,          43,       692,         7,       6,       2,       5
   14, val  , lbbb       ,          58,         6,       395,       1,       0,       5
   14, val  , sb         ,          72,         1,         1,     334,       0,       0
   14, val  , st         ,          41,         4,         2,       0,     613,      15
   14, val  , af         ,          87,        13,         7,       4,      19,     392
   14, test , umdavb     ,         629,         3,        12,      55,       2,       8
   14, test , rbbb       ,          10,        16,         0,       0,       1,       3
   14, test , lbbb       ,           4,         0,        22,       0,       0,       1
