Epoch,Phase,Right_Label,Pred_umdavb,Pred_rbbb,Pred_lbbb,Pred_sb,Pred_st,Pred_af
1,val,umdavb,12750,232,81,226,196,78
1,val,rbbb,327,474,3,12,3,3
1,val,lbbb,258,5,185,1,3,4
1,val,sb,205,6,0,236,0,0
1,val,st,118,18,1,0,426,9
1,val,af,343,14,1,11,46,80
1,test,umdavb,653,26,1,6,20,3
1,test,rbbb,8,21,0,0,1,0
1,test,lbbb,12,1,13,0,0,1
1,test,sb,6,0,0,9,0,0
1,test,st,4,4,0,0,27,0
1,test,af,8,0,0,0,0,3
2,val,umdavb,12781,191,141,207,151,92
2,val,rbbb,149,657,7,6,1,2
2,val,lbbb,106,5,336,3,3,3
2,val,sb,119,7,0,317,0,4
2,val,st,95,11,3,0,454,9
2,val,af,276,15,11,7,32,154
2,test,umdavb,665,8,2,7,24,3
2,test,rbbb,5,23,0,0,2,0
2,test,lbbb,9,0,17,0,0,1
2,test,sb,6,0,0,9,0,0
2,test,st,3,1,0,0,31,0
2,test,af,8,1,0,0,0,2
3,val,umdavb,12957,162,81,133,157,73
3,val,rbbb,155,643,4,13,1,6
3,val,lbbb,186,5,255,5,2,3
3,val,sb,126,4,0,316,0,1
3,val,st,79,7,4,0,475,7
3,val,af,215,8,8,6,55,203
3,test,umdavb,673,5,0,6,21,4
3,test,rbbb,4,25,0,0,0,1
3,test,lbbb,17,0,10,0,0,0
3,test,sb,5,0,0,10,0,0
3,test,st,1,1,0,0,33,0
3,test,af,7,0,0,0,0,4
4,val,umdavb,12890,168,115,177,119,94
4,val,rbbb,91,707,6,11,2,5
4,val,lbbb,96,5,338,9,3,5
4,val,sb,80,3,0,360,0,4
4,val,st,115,9,4,1,439,4
4,val,af,184,13,11,15,50,222
4,test,umdavb,672,7,2,15,7,6
4,test,rbbb,3,26,0,0,0,1
4,test,lbbb,7,1,19,0,0,0
4,test,sb,5,0,0,10,0,0
4,test,st,6,1,0,0,28,0
4,test,af,6,0,0,0,0,5
5,val,umdavb,12914,176,111,160,152,50
5,val,rbbb,71,730,8,10,1,2
5,val,lbbb,94,8,341,7,1,5
5,val,sb,92,4,0,348,0,3
5,val,st,68,9,3,1,488,3
5,val,af,227,12,8,18,74,156
5,test,umdavb,674,4,3,4,18,6
5,test,rbbb,4,26,0,0,0,0
5,test,lbbb,4,1,21,0,0,1
5,test,sb,4,0,0,10,0,1
5,test,st,5,1,0,0,29,0
5,test,af,9,1,0,0,0,1
6,val,umdavb,12974,144,111,137,117,80
6,val,rbbb,107,690,8,15,1,1
6,val,lbbb,93,5,341,6,3,8
6,val,sb,104,2,0,339,0,2
6,val,st,108,7,4,1,445,7
6,val,af,167,11,8,13,46,250
6,test,umdavb,679,4,1,8,14,3
6,test,rbbb,8,21,0,0,0,1
6,test,lbbb,7,0,20,0,0,0
6,test,sb,3,0,0,12,0,0
6,test,st,3,0,0,0,32,0
6,test,af,6,1,0,0,0,4
7,val,umdavb,12835,175,112,152,144,145
7,val,rbbb,75,730,5,9,1,2
7,val,lbbb,85,7,349,5,2,8
7,val,sb,99,3,0,343,0,2
7,val,st,65,4,3,1,481,18
7,val,af,125,13,8,14,27,308
7,test,umdavb,659,4,1,7,24,14
7,test,rbbb,3,26,0,0,0,1
7,test,lbbb,6,0,21,0,0,0
7,test,sb,4,0,0,11,0,0
7,test,st,2,2,0,0,31,0
7,test,af,5,0,0,0,0,6
8,val,umdavb,12805,180,121,167,145,145
